"name","age","hometown","boarded","destination","lifeboat","body","class","home_country","Lifeboat","Destination","Boarded","survival_outcome","position","crew_type","crew","sex","age_character","household_assistant_type","household_assistant","household_assistant_to_whom"
"Moore, Mr. John J.",29,"Southampton, Hampshire, England","Southampton",NA,"3",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","29",NA,"Not Assistant",NA
"Moore, Mr. Ralph",21,"London, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","21",NA,"Not Assistant",NA
"Moores, Mr. Richard Henry",44,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","44",NA,"Not Assistant",NA
"Morgan, Mr. Arthur Herbert",27,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"Morgan, Mr. Thomas A.",26,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","26",NA,"Not Assistant",NA
"Morrell, Mr. R. (Albert White)",21,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","21",NA,"Not Assistant",NA
"Morris, Mr. Arthur",30,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Morris, Mr. William Edward",23,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","23",NA,"Not Assistant",NA
"Moyes, Mr. William Young",23,"Stirling, Scotland","Belfast",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Senior Sixth Engineer","Engineering crew","Crew","Male","23",NA,"Not Assistant",NA
"Murdock, Mr. William",34,"Belfast, Ireland","Belfast",NA,"B",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","34",NA,"Not Assistant",NA
"Nettleton, Mr. George Walter",29,"St. Denys, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","29",NA,"Not Assistant",NA
"Newman, Mr. Charles Thomas",32,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Engineering Storekeeper","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Noon, Mr. John",35,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","35",NA,"Not Assistant",NA
"Norris, Mr. James",22,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","22",NA,"Not Assistant",NA
"Noss, Mr. Bertram Arthur",21,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","21",NA,"Not Assistant",NA
"Noss, Mr. Henry",31,"Southampton, Hampshire, England","Southampton",NA,"15",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Nutbean, Mr. William",31,"Southampton, Hampshire, England","Southampton",NA,"3",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"O'Connor, Mr. John",25,"Southampton, Hampshire, England","Southampton",NA,"B",NA,NA,NA,NA,NA,NA,"Survived","Trimmer","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Olive, Mr. Charles",31,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Oliver, Mr. H.",32,"Southampton, Hampshire, England","Southampton",NA,"3",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Othen, Mr. Charles",36,"Southampton, Hampshire, England","Southampton",NA,"11",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","36",NA,"Not Assistant",NA
"Paice, Mr. Richard Charles John",32,"Kingsclere, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Painter, Mr. Charles",31,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Painter, Mr. Frank",29,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","29",NA,"Not Assistant",NA
"Palles, Mr. Thomas Henry Michael",45,"Liverpool, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","45",NA,"Not Assistant",NA
"Parsons, Mr. Frank Alfred",27,"Southampton, Hampshire, England","Belfast",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Senior Fifth Engineer","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"Pearce, Mr. John",28,"Southampton, Hampshire, England","Southampton",NA,"15",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","28",NA,"Not Assistant",NA
"Pelham, Mr. George",39,"Southampton, Hampshire, England","Southampton",NA,"16",NA,NA,NA,NA,NA,NA,"Survived","Trimmer","Engineering crew","Crew","Male","39",NA,"Not Assistant",NA
"Perry, Mr. Edgar Lionel",19,"Southampton, Hampshire, England","Southampton",NA,"?",NA,NA,NA,NA,NA,NA,"Survived","Trimmer","Engineering crew","Crew","Male","19",NA,"Not Assistant",NA
"Perry, Mr. Henry Frederick",23,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","23",NA,"Not Assistant",NA
"Phillips, Mr. G.",27,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"Pitfield, Mr. William James",25,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Podesta, Mr. John",25,"Southampton, Hampshire, England","Southampton",NA,"3",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Pond, Mr. George",32,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Prangnell, Mr. George",31,"Southampton, Hampshire, England","Southampton",NA,"B",NA,NA,NA,NA,NA,NA,"Survived","Greaser","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Preston, Mr. Thomas Charles Alfred",20,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","20",NA,"Not Assistant",NA
"Priest, Mr. Arthur J.",23,"Southampton, Hampshire, England","Southampton",NA,"15",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","23",NA,"Not Assistant",NA
"Proudfoot, Mr. Richard Royston",22,"Plymouth, Devon, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","22",NA,"Not Assistant",NA
"Pugh, Mr. Percy",31,"Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Leading Fireman","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Pusey, Mr. William Robert Holland",24,"Hythe, Hampshire, England","Southampton",NA,"1",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","24",NA,"Not Assistant",NA
"Ranger, Mr. Thomas G.",29,"Southampton, Hampshire, England","Southampton",NA,"4",NA,NA,NA,NA,NA,NA,"Survived","Greaser","Engineering crew","Crew","Male","29",NA,"Not Assistant",NA
"Read, Mr. Joseph",20,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","20",NA,"Not Assistant",NA
"Reed, Mr. Robert",30,"Gosport, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Reeves, Mr. Robert",30,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Rice, Mr. Charles",32,"Southampton, Hampshire, England","Southampton",NA,"10",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Richards, Mr. Joseph James",30,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Rickman, Mr. George Albert",36,"Milford, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","36",NA,"Not Assistant",NA
"Roberts, Mr. Robert George",35,"Bransgore, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","35",NA,"Not Assistant",NA
"Rous, Mr. Arthur John",26,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Plumber","Engineering crew","Crew","Male","26",NA,"Not Assistant",NA
"Rudd, Mr. Henry",23,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Engineering Storkeeper","Engineering crew","Crew","Male","23",NA,"Not Assistant",NA
"Rutter, Mr. Sidney",27,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"Sangster, Mr. Charles Edward",30,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Saunders, Mr. Thomas",NA,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","n/a",NA,"Not Assistant",NA
"Saunders, Mr. W.",30,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Saunders, Mr. W.",23,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","23",NA,"Not Assistant",NA
"Scott, Mr. Archibald",40,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","40",NA,"Not Assistant",NA
"Scott, Mr. Frederick",28,"Southampton, Hampshire, England","Southampton",NA,"4",NA,NA,NA,NA,NA,NA,"Survived","Greaser","Engineering crew","Crew","Male","28",NA,"Not Assistant",NA
"Self, Mr. Alfred Henry",40,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","40",NA,"Not Assistant",NA
"Self, Mr. Edward",25,"Southampton, Hampshire, England","Southampton",NA,"?",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Senior, Mr. Henry",31,"London, England","Southampton",NA,"B",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Shea, Mr. Thomas",29,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","29",NA,"Not Assistant",NA
"Sheath, Mr. Frederick",20,"Southampton, Hampshire, England","Southampton",NA,"1",NA,NA,NA,NA,NA,NA,"Survived","Trimmer","Engineering crew","Crew","Male","20",NA,"Not Assistant",NA
"Shepherd, Mr. Johnathan",32,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Junior Assistant Second Engineer","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Shiers, Mr. Alfred",24,"Southampton, Hampshire, England","Southampton",NA,"5",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","24",NA,"Not Assistant",NA
"Shillaber, Mr. Charles",20,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","20",NA,"Not Assistant",NA
"Skeates, Mr. William",26,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","26",NA,"Not Assistant",NA
"Sloan, Mr. Peter",31,"Southampton, Hampshire, England","Belfast",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Chief Electrician","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Small, Mr. William",40,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Leading Fireman","Engineering crew","Crew","Male","40",NA,"Not Assistant",NA
"Smith, Mr. Ernest George",27,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"Smith, Mr. James Muil",35,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Junior Fourth Engineer","Engineering crew","Crew","Male","35",NA,"Not Assistant",NA
"Smither, Mr. Harry James",22,"Kilburn, Middlesex, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","22",NA,"Not Assistant",NA
"Snellgrove, Mr. George",41,"Millbrook, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","41",NA,"Not Assistant",NA
"Snooks, Mr. W",26,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","26",NA,"Not Assistant",NA
"Snowberger, Mr. Eustace Philip",21,"Southampton, Hampshire, England","Southampton",NA,"B",NA,NA,NA,NA,NA,NA,"Survived","Trimmer","Engineering crew","Crew","Male","21",NA,"Not Assistant",NA
"Sparkman, Mr. Henry",36,"Southampton, Hampshire, England","Southampton",NA,"?",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","36",NA,"Not Assistant",NA
"Stafford, Mr. Michael (Albert Briant)",34,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","34",NA,"Not Assistant",NA
"Stanbrook, Mr. Augustus",30,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Steel, Mr. Robert Edward",30,"Guernsey, Channel Islands","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Stocker, Mr. Henry Dorey",20,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","20",NA,"Not Assistant",NA
"Street, Mr. Henry Albert",25,"Southampton, Hampshire, England","Southampton",NA,"9",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Stubbs, Mr. James Henry",28,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","28",NA,"Not Assistant",NA
"Sullivan Mr. S.",25,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Taylor, Mr. James",25,"Southampton, Hampshire, England","Southampton",NA,"1",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Taylor, Mr. John",32,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Taylor, Mr. T.",42,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","42",NA,"Not Assistant",NA
"Taylor, Mr. William Henry",28,"Southampton, Hampshire, England","Southampton",NA,"15",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","28",NA,"Not Assistant",NA
"Thomas, Mr. James",27,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"Thompson, Mr. John William",42,"Liverpool, England","Southampton",NA,"A/14",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","42",NA,"Not Assistant",NA
"Threlfall, Mr. Thomas",38,"Liverpool, England","Southampton",NA,"14",NA,NA,NA,NA,NA,NA,"Survived","Leading Fireman","Engineering crew","Crew","Male","38",NA,"Not Assistant",NA
"Thresher, Mr. George",25,"Southampton, Hampshire, England","Southampton",NA,"?",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Tizard, Mr. Arthur Leopold",31,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Tozer, Mr. James",32,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Triggs, Mr. Robert",41,"Southampton, Hampshire, England","Southampton",NA,"3",NA,NA,NA,NA,NA,NA,"Survived","Fireman/Stoker","Engineering crew","Crew","Male","41",NA,"Not Assistant",NA
"Turley, Mr. Richard",37,"Newry, Down, Ireland","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","37",NA,"Not Assistant",NA
"van der Brugge, Mr. Wessel Adrianus",42,"Delfshaven, Rotterdam, Netherlands","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","42",NA,"Not Assistant",NA
"Veal, Mr. Arthur",36,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","36",NA,"Not Assistant",NA
"Vear, Mr. Henry",32,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Vear, Mr. W.",32,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"Ward, Mr. Arthur",24,"Romsey, England","Belfast",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Junior Assistant Fourth Engineer","Engineering crew","Crew","Male","24",NA,"Not Assistant",NA
"Ward, Mr. Joseph",31,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Leading Fireman","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Wardner, Mr. Frederick Albert",39,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","39",NA,"Not Assistant",NA
"Wateridge, Mr. Edward Lewis",25,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","25",NA,"Not Assistant",NA
"Watson, Mr. W.",27,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"Webb, Mr. Samuel Francis",28,"Salford, Manchester, Lancashire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","28",NA,"Not Assistant",NA
"Webber, Mr. Francis Albert",31,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Leading Fireman","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"White, Mr. Alfred",32,"Southampton, Hampshire, England","Southampton",NA,"4",NA,NA,NA,NA,NA,NA,"Survived","Greaser","Engineering crew","Crew","Male","32",NA,"Not Assistant",NA
"White, Mr. Frank Leonard",27,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","27",NA,"Not Assistant",NA
"White, Mr. William George",23,"Salisbury, Wiltshire, England","Southampton",NA,"15",NA,NA,NA,NA,NA,NA,"Survived","Trimmer","Engineering crew","Crew","Male","23",NA,"Not Assistant",NA
"Williams, Mr. Samuel Solomon",26,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","26",NA,"Not Assistant",NA
"Wilson, Mr. Bertie",28,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Senior Assistant Second Engineer","Engineering crew","Crew","Male","28",NA,"Not Assistant",NA
"Wilton, Mr. William",45,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","45",NA,"Not Assistant",NA
"Witcher, Mr. Alfred",40,"Lymington, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","40",NA,"Not Assistant",NA
"Witt, Mr. F.",NA,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","n/a",NA,"Not Assistant",NA
"Witt, Mr. Henry Dennis",40,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","40",NA,"Not Assistant",NA
"Woodford, Mr. Frederick",41,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Greaser","Engineering crew","Crew","Male","41",NA,"Not Assistant",NA
"Wood, Mr. Henry",31,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Trimmer","Engineering crew","Crew","Male","31",NA,"Not Assistant",NA
"Wyeth, Mr. James Robert",26,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","26",NA,"Not Assistant",NA
"Young, Mr. Francis James",30,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Fireman/Stoker","Engineering crew","Crew","Male","30",NA,"Not Assistant",NA
"Abbott, Mr. Ernest Owen",21,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","First Class Lounge Pantry Steward","Victualling crew","Crew","Male","21",NA,"Not Assistant",NA
"Ahier, Mr. Percy Snowden",20,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","First Class Saloon Steward","Victualling crew","Crew","Male","20",NA,"Not Assistant",NA
"Akerman, Mr. Albert",28,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Third Class Steward","Victualling crew","Crew","Male","28",NA,"Not Assistant",NA
"Akerman, Mr. Joseph Francis",35,"Southampton, Hampshire, England","Southampton",NA,NA,"205",NA,NA,NA,NA,NA,"Perished","Asst. Pantry Steward","Victualling crew","Crew","Male","35",NA,"Not Assistant",NA
"Allan, Mr. Robert Spencer",36,"Shirley, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","First Class Bedroom Steward","Victualling crew","Crew","Male","36",NA,"Not Assistant",NA
"Allen, Mr. George",26,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Scullion","Victualling crew","Crew","Male","26",NA,"Not Assistant",NA
"Allen, Mr. Frederick",17,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Lift Steward","Victualling crew","Crew","Male","17",NA,"Not Assistant",NA
"Allsop, Mr. Frank Richard",41,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Bedroom Steward","Victualling crew","Crew","Male","41",NA,"Not Assistant",NA
"Anderson, Mr. Walter J.",48,"Southampton, Hampshire, England","Southampton",NA,NA,"146",NA,NA,NA,NA,NA,"Perished","Bedroom Steward","Victualling crew","Crew","Male","48",NA,"Not Assistant",NA
"Andrews, Mr. Charles Edward",19,"Southampton, Hampshire, England","Southampton",NA,"16",NA,NA,NA,NA,NA,NA,"Perished","Assistant Second Class Saloon Steward","Victualling crew","Crew","Male","19",NA,"Not Assistant",NA
"Ashcroft, Mr. Austin Aloysius",26,"Seacombe, Cheshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Clerk","Victualling crew","Crew","Male","26",NA,"Not Assistant",NA
"Ashe, Mr. Henry Wellesley",32,"Liverpool, Lancashire, England","Southampton",NA,NA,"34",NA,NA,NA,NA,NA,"Perished","Glory Hole Steward","Victualling crew","Crew","Male","32",NA,"Not Assistant",NA
"Ayling, Mr. George Edwin",22,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Assistant Vegetable Cook","Victualling crew","Crew","Male","22",NA,"Not Assistant",NA
"Back, Mr. Charles Frederick",32,"Southampton, Hampshire, England","Belfast",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","Assistant Lounge Steward","Victualling crew","Crew","Male","32",NA,"Not Assistant",NA
"Baggott, Mr. Allen Marden",28,"Itchen, Hampshire, England","Southampton",NA,"9",NA,NA,NA,NA,NA,NA,"Survived","First Class Saloon Steward","Victualling crew","Crew","Male","28",NA,"Not Assistant",NA
"Bagley, Mr. Edward Ernest",31,"Southampton, Hampshire, England","Southampton",NA,NA,NA,NA,NA,NA,NA,NA,"Perished","First Class Saloon Steward","Victualling crew","Crew","Male","31",NA,"Not Assistant",NA
